# table	constraint	type	definition
hr_onboarding_templates	hr_onboarding_templates_pkey	p	PRIMARY KEY (id)
hr_onboarding_templates	hr_onboarding_templates_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_onboarding_templates	hr_onboarding_templates_tenant_id_template_code_key	u	UNIQUE (tenant_id, template_code)
hr_review_cycles	hr_review_cycles_deadlines_are_ordered	c	CHECK ((((self_assessment_due IS NULL) OR (self_assessment_due >= start_date)) AND ((manager_assessment_due IS NULL) OR (self_assessment_due IS NULL) OR (manager_assessment_due >= self_assessment_due)) AND ((review_meetings_due IS NULL) OR (manager_assessment_due IS NULL) OR (review_meetings_due >= manager_assessment_due)) AND ((cycle_close_date IS NULL) OR (review_meetings_due IS NULL) OR (cycle_close_date >= review_meetings_due)) AND ((cycle_close_date IS NULL) OR (cycle_close_date >= start_date))))
hr_review_cycles	hr_review_cycles_pkey	p	PRIMARY KEY (id)
hr_review_cycles	hr_review_cycles_tenant_id_cycle_code_key	u	UNIQUE (tenant_id, cycle_code)
hr_review_cycles	hr_review_cycles_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_reviews	hr_reviews_acknowledged_has_an_assessment	c	CHECK (((status <> 'acknowledged'::text) OR (manager_assessment IS NOT NULL)))
hr_reviews	hr_reviews_pkey	p	PRIMARY KEY (id)
hr_reviews	hr_reviews_status_is_known	c	CHECK ((status = ANY (ARRAY['draft'::text, 'submitted'::text, 'acknowledged'::text])))
hr_reviews	hr_reviews_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_reviews	hr_reviews_tenant_id_review_id_key	u	UNIQUE (tenant_id, review_id)
hr_survey_responses	fk_hr_survey_responses_survey_id	f	FOREIGN KEY (survey_id) REFERENCES hr_surveys(id)
hr_survey_responses	hr_survey_responses_pkey	p	PRIMARY KEY (id)
hr_survey_responses	hr_survey_responses_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_survey_responses	hr_survey_responses_tenant_id_response_id_key	u	UNIQUE (tenant_id, response_id)
hr_surveys	hr_surveys_pkey	p	PRIMARY KEY (id)
hr_surveys	hr_surveys_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_surveys	hr_surveys_tenant_id_survey_id_key	u	UNIQUE (tenant_id, survey_id)
hr_time_off_balances	hr_time_off_balances_pkey	p	PRIMARY KEY (id)
hr_time_off_balances	hr_time_off_balances_tenant_id_employee_id_policy_id_accrua_key	u	UNIQUE (tenant_id, employee_id, policy_id, accrual_year)
hr_time_off_balances	hr_time_off_balances_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_time_off_balances	hr_time_off_balances_unit_check	c	CHECK ((unit = ANY (ARRAY['days'::text, 'hours'::text])))
hr_time_off_policies	hr_time_off_policies_pkey	p	PRIMARY KEY (id)
hr_time_off_policies	hr_time_off_policies_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_time_off_policies	hr_time_off_policies_tenant_id_policy_code_key	u	UNIQUE (tenant_id, policy_code)
hr_time_off_requests	hr_time_off_requests_pkey	p	PRIMARY KEY (id)
hr_time_off_requests	hr_time_off_requests_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_time_off_requests	hr_time_off_requests_tenant_id_request_id_key	u	UNIQUE (tenant_id, request_id)
invoice_lines	fk_invoice_lines_invoice_id	f	FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE CASCADE
invoice_lines	fk_invoice_lines_revenue_account_id	f	FOREIGN KEY (revenue_account_id) REFERENCES chart_of_accounts(id)
invoice_lines	fk_invoice_lines_tax_rate_id	f	FOREIGN KEY (tax_rate_id) REFERENCES payroll_tax_rates(id)
invoice_lines	invoice_lines_pkey	p	PRIMARY KEY (id)
invoice_lines	invoice_lines_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
invoices	ck_invoices_amounts_reconcile	c	CHECK (((subtotal >= (0)::numeric) AND (tax_total >= (0)::numeric) AND (total >= (0)::numeric) AND (amount_paid >= (0)::numeric) AND (amount_due >= (0)::numeric) AND (base_subtotal >= (0)::numeric) AND (base_tax_total >= (0)::numeric) AND (base_total >= (0)::numeric) AND (base_amount_paid >= (0)::numeric) AND (base_amount_due >= (0)::numeric) AND (total = (subtotal + tax_total)) AND (amount_due = (total - amount_paid)) AND (base_total = (base_subtotal + base_tax_total)) AND (base_amount_due = (base_total - base_amount_paid))))
invoices	fk_invoices_customer_id	f	FOREIGN KEY (customer_id) REFERENCES customers(id)
invoices	fk_invoices_journal_entry_id	f	FOREIGN KEY (journal_entry_id) REFERENCES journal_entries(id)
invoices	invoices_pkey	p	PRIMARY KEY (id)
invoices	invoices_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
jobs	jobs_pkey	p	PRIMARY KEY (id)
